id,source,url,author,published_at,title,text,text_clean,lang_guess,tag_unpad,meta
x_1985963667599302670,x,https://x.com/i/web/status/1985963667599302670,1734036638605733888,2025-11-05T06:53:30.000Z,,pad! open berbagai jasa all spess. dikerjakan oleh tim yg terpercaya dan cekatan! https://t.co/wllVMdfbxD,pad open bagai jasa all spess kerja tim percaya cekat,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985963530730803635,x,https://x.com/i/web/status/1985963530730803635,1734036638605733888,2025-11-05T06:52:57.000Z,,pad! wts foom x pemakaian 2 bulan tawar berapa aja di komen device only + kabel https://t.co/3fZB6MW7co,pad wts foom pakai bulan tawar berapa komen device only kabel,id,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}"
x_1985963031583715357,x,https://x.com/i/web/status/1985963031583715357,1002788437030666240,2025-11-05T06:50:58.000Z,,"ada cooling fan/pad buat macbook gasi? dia kan bawahnya flat gt ya ga ada bolongan sama sekali, percuma gasi kl pake cooling fan biasa?",cooling fan pad buat macbook gas kan bawah flat bolong sama sekali percuma gas pake cooling fan biasa,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985962693975544063,x,https://x.com/i/web/status/1985962693975544063,1734036638605733888,2025-11-05T06:49:38.000Z,,ada yg preloved atau jual airfryer gak pad! info dong,preloved jual airfryer pad info dong,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985961845010653358,x,https://x.com/i/web/status/1985961845010653358,1734036638605733888,2025-11-05T06:46:15.000Z,,"preloved nih pad! hayu di angkut, komen aja nanti di dm https://t.co/BOx9Mwr5Ty",preloved nih pad hayu angkut komen nanti,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}"
x_1985960504901419304,x,https://x.com/i/web/status/1985960504901419304,1660858025639575552,2025-11-05T06:40:56.000Z,,"@MediaHarshVT teri jali na 
pichwade me chala pad gya ohhh",teri jali pichwade chala pad gya ohh,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985959481335840806,x,https://x.com/i/web/status/1985959481335840806,1734036638605733888,2025-11-05T06:36:52.000Z,,"haloo pad! mau wts ini dibeli dibeli yuk prefer yang bisa hari ini karena bsk mauu pulaag, masih bisa nego yaa https://t.co/aqtFdvdlXF",haloo pad mau wts beli beli yuk prefer hari bsk mauu pulaag masih nego yaa,id,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}"
x_1985959363136151571,x,https://x.com/i/web/status/1985959363136151571,1734036638605733888,2025-11-05T06:36:24.000Z,,"BANTING HARGAAAAA❗️❗️❗️
Masih ada stocknya nih pad! penghabisann aku kasih harga murceuu udah free paper bag dan free ongkir sejatinangor.
Komen nanti di dm, atau bisa langsung hub WA : 085219687206 biar fastrespp🤝🏻 https://t.co/mwMhAIW0d3",banting hargaa masih stocknya nih pad penghabisann aku kasih harga murceuu udah free paper bag free ongkir sejatinangor komen nanti langsung hub 085219687206 biar fastrespp,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}"
x_1985959331242918100,x,https://x.com/i/web/status/1985959331242918100,1985615125055975424,2025-11-05T06:36:16.000Z,,@asparagusar kakkk bentar yaa aku lagi anter temen ke klinik unpad (kabarin kakk bisanya kapan lagii maaf yaa kakk sebelumnyaa)🙏🏻,kakk bentar yaa aku lagi anter temen klinik unpad kabarin kakk bisa kapan lagi maaf yaa kakk sebelumnyaa,id,True,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}"
x_1985957420968149215,x,https://x.com/i/web/status/1985957420968149215,1557566461,2025-11-05T06:28:41.000Z,,@eunshyz sepupu jauh kan undip unpad,sepupu jauh kan undip unpad,id,True,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985957397022794053,x,https://x.com/i/web/status/1985957397022794053,1980305059905961984,2025-11-05T06:28:35.000Z,,"Bingung beli Honor pad 10 atau huawei 11.5. Tapi masih ragu dg gbox. Tapi ingin matepadnya. Juga karena ingin coba selain apple ipad, samsung tab dan xiaomi. Lanjut",bingung beli honor pad huawei tapi masih ragu gbox tapi ingin matepadnya ingin coba selain apple ipad samsung tab xiaomi lanjut,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985957361542930588,x,https://x.com/i/web/status/1985957361542930588,1734036638605733888,2025-11-05T06:28:26.000Z,,"halo pad! Sender buka jasa ketik, tulis, makalah, apapun yang bisa dikerjain dari kos, bayar seikhlasnya aja pad! sender butuh banget 3,5jt untuk lunasi uang obat ortu, tapi kuliah sender bener bener hectic. bisa rep di komen, hatur nuhunn",halo pad sender buka jasa ketik tulis makalah apa dikerjain kos bayar ikhlas pad sender butuh banget 5jt lunas uang obat ortu tapi kuliah sender benar benar hectic rep komen hatur nuhunn,id,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}"
x_1985956743952937251,x,https://x.com/i/web/status/1985956743952937251,1889575380904034304,2025-11-05T06:25:59.000Z,,"@sebuahsarang Gan, Redmi Pad 2 Pro sudah bisa dibeli kah?",gan redmi pad pro beli kah,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985956395192369397,x,https://x.com/i/web/status/1985956395192369397,1780269174969044992,2025-11-05T06:24:36.000Z,,"untuk perbaikan sistem tiket dan pemasangan plang.

Semua pihak diharapkan berkomitmen demi gairah pariwisata Pesawaran! Selengkapnya baca di Link .https://t.co/O6U4CIDtuc

#PariwisataPesawaran #PADDaerah #WayMios #TegalMas #DinasPariwisata #Pesawaran https://t.co/l2QP3nMzOh",baik sistem tiket pasang plang semua pihak harap komitmen demi gairah pariwisata sawar lengkap baca link,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}"
x_1985956261356052875,x,https://x.com/i/web/status/1985956261356052875,1734036638605733888,2025-11-05T06:24:04.000Z,,open jasa deliv makan dsb pad! https://t.co/SXnEkIhynz,open jasa deliv makan dsb pad,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}"
x_1985956237675282486,x,https://x.com/i/web/status/1985956237675282486,1780269174969044992,2025-11-05T06:23:59.000Z,,"laporkan penurunan kunjungan 2 tahun terakhir. Perbaikan besar-besaran (dermaga, vila) dan usulan 'satu pintu' juga menjadi fokus.

Target Fantastis: Dinas Pariwisata menetapkan target PAD ambisius sebesar Rp1 Miliar di tahun 2026!

Aksi Cepat: Jasa Raharja akan dilibatkan https://t.co/IZb2gEtNMl",lapor turun kunjung tahun akhir baik besar dermaga vila usul satu pintu jadi fokus target fantastis dinas pariwisata tetap target pad ambisius besar rp1 miliar tahun 2026 aksi cepat jasa raharja libat,id,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}"
x_1985956131915907586,x,https://x.com/i/web/status/1985956131915907586,1780269174969044992,2025-11-05T06:23:33.000Z,,"meningkatkan Pendapatan Asli Daerah (PAD).

Way Mios Merana: Kunjungan Way Mios turun 50%! Pengelola mengusulkan sistem tiket 'satu pintu' untuk empat destinasi (Way Mios, Banyu Langit, Gunung Batu, Lembah Damai) demi efisiensi dan peningkatan PAD.

Tegal Mas Berbenah: Tegal Mas https://t.co/yOXCFknuCH",tingkat dapat asli daerah pad way mios merana kunjung way mios turun kelola usul sistem tiket satu pintu empat destinasi way mios banyu langit gunung batu lembah damai demi efisiensi tingkat pad tegal mas benah tegal mas,id,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}"
x_1985955981742965121,x,https://x.com/i/web/status/1985955981742965121,1780269174969044992,2025-11-05T06:22:57.000Z,,"✨ Wajah Baru PAD Pariwisata Pesawaran! Solusi ""Satu Pintu"" diusulkan untuk Atasi Penurunan Kunjungan.

Rapat penting Dinas Pariwisata Kab. Pesawaran hari ini (5/11/2025) dipimpin Plt. Kepala Dinas, Jayadi Yasa, S.STP., M.I.P, menghasilkan sejumlah keputusan strategis untuk https://t.co/VDy4jSF3cP",wajah baru pad pariwisata sawar solusi satu pintu usul atas turun kunjung rapat penting dinas pariwisata kab sawar hari 2025 pimpin plt kepala dinas jayadi yasa stp hasil jumlah putus strategis,id,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}"
x_1985955510089367967,x,https://x.com/i/web/status/1985955510089367967,135815019,2025-11-05T06:21:05.000Z,,"Harga dan Spesifikasi Honor Pad 10, Asyik Buat Kerja dan Main https://t.co/HON2dR86Xn",harga spesifikasi honor pad asyik buat kerja main,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985955158187217314,x,https://x.com/i/web/status/1985955158187217314,1975211203401269248,2025-11-05T06:19:41.000Z,,"Detail kecil ini sangat krusial dalam digital marketing untuk meningkatkan click-through rate pad social media ads.
​Siapa yang sudah mencoba teknik ini? Share hasilnya di Story dan tag kami! 👇
​#AdobeIllustrator #TutorialDesain #Efek3D #GraphicDesignTips #AgencyDesainIndonesia https://t.co/F9U067lqCC",detail kecil sangat krusial digital marketing tingkat click-through rate pad social media ads siapa coba teknik share hasil story tag kami,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985954155488559248,x,https://x.com/i/web/status/1985954155488559248,1782977082248892416,2025-11-05T06:15:42.000Z,,atp gua yakin ukt unpad abis buat nyewa vendor wisuda,atp gua yakin ukt unpad abis buat nyewa vendor wisuda,id,True,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985953103992988099,x,https://x.com/i/web/status/1985953103992988099,1734036638605733888,2025-11-05T06:11:31.000Z,,"pad! bisa dianterin sekarang juga all nangor area, dm buat detail yaa! https://t.co/l0Duihcx0w",pad dianterin sekarang all nangor area buat detail yaa,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985953081654460700,x,https://x.com/i/web/status/1985953081654460700,1962771458440269824,2025-11-05T06:11:26.000Z,,"🙏🏻 FH UNPAD datanglah kepadaku 🙏🏻🙏🏻 
🙏🏻 BI UNPAD datanglah kepadaku 🙏🏻",unpad datang kepada unpad datang kepada,id,True,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985952537930056098,x,https://x.com/i/web/status/1985952537930056098,1588594256612327427,2025-11-05T06:09:16.000Z,,"@emarchiella @kampungphilos Fyi, ak maeen wuwa + genshin + ml. Poco pad cmn ga bisa bantai2 tu pas battle genshin sama wuwa (masih patah²) tpi lads libas bae",fyi maeen wuwa genshin poco pad cmn bantai2 pas battle genshin sama wuwa masih patah tpi lads libas bae,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985952377137185170,x,https://x.com/i/web/status/1985952377137185170,1588594256612327427,2025-11-05T06:08:38.000Z,,"@emarchiella @kampungphilos Iya kaa seriuss. Tp pad ku emg khusus game ajaa. Ak bawak battle kadang2. Soalnya aku suka nge glint jadi suka hasil HD. Jadi kadang lupa setting ke medium. Jd bantai aja pke ultra wkwk. Mkny ak heran, ni poco pad speknya ga segahar itu. Tpi bisa libas semua game.",iya kaa seriuss pad emg khusus game ajaa bawak battle kadang2 soal aku suka nge glint jadi suka hasil jadi kadang lupa setting medium bantai pke ultra wkwk mkny heran poco pad speknya gahar tpi libas semua game,id,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}"
x_1985952337064837152,x,https://x.com/i/web/status/1985952337064837152,1596205024199454721,2025-11-05T06:08:29.000Z,,"Xiaomi Pad 6,tabled mewah tapi murah paling sering di cari !

Cek Discount Shopee ! https://t.co/df8ZBMQ2Uh https://t.co/2hOCN3gh5V",xiaomi pad tabled mewah tapi murah paling sering cari cek discount shopee,id,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}"
x_1985952278772437134,x,https://x.com/i/web/status/1985952278772437134,1818346182269415424,2025-11-05T06:08:15.000Z,,@pinkygirrll emang semua pad xiaomi kayaknya gakbisa simcard deh huft,emang semua pad xiaomi kayak gakbisa simcard deh huft,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985952205158170925,x,https://x.com/i/web/status/1985952205158170925,1541349531106693120,2025-11-05T06:07:57.000Z,,@_amitbehere Sala log itne unpad Hai bc X par Iss level ka sarcasm samaj Mai nahi aata.lekin ajj unpadh raja ki praja Teri tweet ko repost Bhout karain gy.🤣🤣,sala log itne unpad hai par iss level sarcasm samaj mai nahi aata lekin ajj unpadh raja praja teri tweet repost bhout karain,id,True,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}"
x_1985952082873237730,x,https://x.com/i/web/status/1985952082873237730,1818971355246886912,2025-11-05T06:07:28.000Z,,Saudara UNPAD bagi yang melihat beliau harap info info ia https://t.co/EHkpo5Nk4t,saudara unpad bagi lihat beliau harap info info,id,True,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}"
x_1985951769051209971,x,https://x.com/i/web/status/1985951769051209971,1310150108437045250,2025-11-05T06:06:13.000Z,,@saten_08 @JaatMohit001 Adhyapak Bharti ke pad bhi bd skte hai kya staffing pattern se,adhyapak bharti pad bhi skte hai kya staffing pattern,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
